文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,天堂伞 反向折叠伞 54-90元价格段代表型号,淘宝,2025-11,天堂伞 反向折叠伞；54-90元价格段；广东 深圳；中高端,天堂伞品牌反向折叠伞款（反向收伞），定价159.0元，广东 深圳发货，蕉下官方奥莱旗舰店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.taobao.com/list/product/%E6%8A%98%E5%8F%A0%E8%87%AA%E5%8A%A8%E4%BC%9E.htm,淘宝累计评价3万+,7538搜索热度 同比-19%,月销5000件,评价+复购+加购 5万+
,,,,蕉下Beneunder 三折防晒伞/黑胶 &gt;90元价格段代表型号,淘宝,2025-Q2,蕉下Beneunder 三折防晒伞/黑胶；&gt;90元价格段；浙江；高毛利,蕉下Beneunder品牌三折防晒伞/黑胶款（强防晒），定价8.0元，浙江发货，琦缇雨户外用品运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.taobao.com/chanpin/ebadc73e6403e7e8f061f944c819d787.html,淘宝累计评价50万+,9022搜索热度 同比-14%,月销5万+件 (批发量),批发复购+好评 累计10万+
,,,,米家 广告伞/定制伞 &lt;30元价格段代表型号,淘宝,2025-Q2,米家 广告伞/定制伞；&lt;30元价格段；浙江 绍兴；高频走量,米家品牌广告伞/定制伞款（企业定制），定价28.0元，浙江 绍兴发货，梅氏伞业源头工厂运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.taobao.com/chanpin/a87dec3fa42b7b27f7459917b06b061f.html,淘宝累计评价2000+,5139搜索热度 同比+41%,月销500件,评价+复购+加购 1000+
,,,,天浩塑胶 油纸伞/非遗 &gt;90元价格段代表型号,淘宝,2026-07,天浩塑胶 油纸伞/非遗；&gt;90元价格段；浙江 绍兴；高毛利,天浩塑胶品牌油纸伞/非遗款（国风手作），定价29.8元，浙江 绍兴发货，仟语家居旗舰店运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.taobao.com/chanpin/c2522bd806190667a2b5e29065b3a217.html,淘宝累计评价5000+,6694搜索热度 同比+37%,月销800件,评价+复购+加购 1000+
,,,,seeu 帐篷/沙滩伞 &lt;30元价格段代表型号,淘宝,2025-Q1,seeu 帐篷/沙滩伞；&lt;30元价格段；浙江 台州；高频走量,seeu品牌帐篷/沙滩伞款（户外），定价29.0元，浙江 台州发货，topmantown拓漫途旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://guangtao.taobao.com/product-053b835b838408c099deacdad5d9704d96ad01260a7acd4e791c79c545f174f1.html,淘宝累计评价5000+,753搜索热度 同比+25%,月销1500件,评价+复购+加购 1000+
,,,,红叶制伞有限公司 鹅柄商务伞 &lt;30元价格段代表型号,淘宝,2025-Q1,红叶制伞有限公司 鹅柄商务伞；&lt;30元价格段；浙江 绍兴；高频走量,红叶制伞有限公司品牌鹅柄商务伞款（商务礼赠），定价19.98元，浙江 绍兴发货，9月户外用品厂运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://guangtao.taobao.com/product-ee075a030bb95f09cf70bda938222566fda0875ea13b913791cdf0afe94731aa.html,淘宝累计评价2000+,439搜索热度 同比+48%,月销500件,评价+复购+加购 2000+
,,,,红叶制伞有限公司 帐篷/沙滩伞 30-54元价格段代表型号,淘宝,2026-Q2,红叶制伞有限公司 帐篷/沙滩伞；30-54元价格段；广东 深圳；中端主力,红叶制伞有限公司品牌帐篷/沙滩伞款（户外），定价159.0元，广东 深圳发货，蕉下官方奥莱旗舰店运营；属于30-54元中端主流价格段，承接天猫渠道销量占比37.2% 销售额占比38.2%市场份额。,https://guangtao.taobao.com/product-9886c50e4b3ab1db427a05a6f85f579287ecab2d5bd10027fa23a408cdbeb707.html,淘宝累计评价1万+,8602搜索热度 同比+22%,月销10000件,评价+复购+加购 5万+
,,,,必朗 防锈直杆伞 &gt;90元价格段代表型号,淘宝,2025-Q2,必朗 防锈直杆伞；&gt;90元价格段；浙江 绍兴；高毛利,必朗品牌防锈直杆伞款（耐用基础款），定价22.0元，浙江 绍兴发货，必朗旗舰店运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://guangtao.taobao.com/product-c0c0d679ac836c93ee674e773e22b36c64be22f6fa52e52a75b592d01b7e24c0.html,淘宝累计评价3万+,7800搜索热度 同比-26%,月销2000件,评价+复购+加购 5万+
,,,,红叶制伞有限公司 钓鱼伞/万向伞骨 30-54元价格段代表型号,淘宝,2026-08,红叶制伞有限公司 钓鱼伞/万向伞骨；30-54元价格段；浙江；中端主力,红叶制伞有限公司品牌钓鱼伞/万向伞骨款（户外），定价8.0元，浙江发货，琦缇雨户外用品运营；属于30-54元中端主流价格段，承接天猫渠道销量占比37.2% 销售额占比38.2%市场份额。,https://guangtao.taobao.com/topic-196244299,淘宝累计评价100万+,6844搜索热度 同比+23%,月销10万+件 (批发量),批发复购+好评 累计50万+
,,,,红叶制伞有限公司 帐篷/沙滩伞 &lt;30元价格段代表型号,淘宝,2026-08,红叶制伞有限公司 帐篷/沙滩伞；&lt;30元价格段；浙江；高频走量,红叶制伞有限公司品牌帐篷/沙滩伞款（户外），定价159.0元，浙江发货，天堂牌成人雨披店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://survey.shangpu-china.com/uploadfile/202512/400c42347f70744.pdf,淘宝累计评价1000+,1542搜索热度 同比-25%,月销1000件,评价+复购+加购 1000+
,,,,totem图腾 广告伞/定制伞 &lt;30元价格段代表型号,淘宝,2026-07,totem图腾 广告伞/定制伞；&lt;30元价格段；浙江 长沙；高频走量,totem图腾品牌广告伞/定制伞款（企业定制），定价43.0元，浙江 长沙发货，天堂伞官方旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://survey.shangpu-china.com/uploadfile/202512/fa11d7f0b30f508.pdf,淘宝累计评价5000+,7669搜索热度 同比-17%,月销1500件,评价+复购+加购 1000+
,,,,红叶制伞有限公司 钓鱼伞/万向伞骨 &gt;90元价格段代表型号,淘宝,2026-07,红叶制伞有限公司 钓鱼伞/万向伞骨；&gt;90元价格段；浙江 义乌；高毛利,红叶制伞有限公司品牌钓鱼伞/万向伞骨款（户外），定价3.25元，浙江 义乌发货，腾达百货运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://survey.shangpu-china.com/uploadfile/202601/8849d2d4e29dcc5.pdf,淘宝累计评价50万+,3435搜索热度 同比-13%,月销5万+件 (批发量),批发复购+好评 累计50万+
,,,,totem图腾 三折钛银胶太阳伞 &lt;30元价格段代表型号,淘宝,2026-08,totem图腾 三折钛银胶太阳伞；&lt;30元价格段；广东 深圳；高频走量,totem图腾品牌三折钛银胶太阳伞款（防紫外线），定价159.0元，广东 深圳发货，蕉下官方奥莱旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://survey.shangpu-china.com/uploadfile/202602/db30f690512ab65.pdf,淘宝累计评价5万+,4020搜索热度 同比+24%,月销2000件,评价+复购+加购 1万+
,,,,Belle Maison 油纸伞/非遗 &gt;90元价格段代表型号,淘宝,2025-Q3,Belle Maison 油纸伞/非遗；&gt;90元价格段；浙江 绍兴；高毛利,Belle Maison品牌油纸伞/非遗款（国风手作），定价19.98元，浙江 绍兴发货，9月户外用品厂运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4968052950,淘宝累计评价2000+,3781搜索热度 同比+12%,月销200件,评价+复购+加购 数百
,,,,qiutong 帐篷/沙滩伞 &gt;90元价格段代表型号,淘宝,2025-11,qiutong 帐篷/沙滩伞；&gt;90元价格段；浙江；高毛利,qiutong品牌帐篷/沙滩伞款（户外），定价8.0元，浙江发货，琦缇雨户外用品运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4946351953,淘宝累计评价50万+,8437搜索热度 同比+31%,月销10万+件 (批发量),批发复购+好评 累计50万+
,,,,必朗 碳纤维超轻伞 &gt;90元价格段代表型号,淘宝,2025-Q3,必朗 碳纤维超轻伞；&gt;90元价格段；浙江；高毛利,必朗品牌碳纤维超轻伞款（高端便携），定价159.0元，浙江发货，天堂牌成人雨披店运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4966813124,淘宝累计评价5000+,2469搜索热度 同比-43%,月销1500件,评价+复购+加购 2000+
,,,,seeu 新娘婚庆红伞 &lt;30元价格段代表型号,淘宝,2025-12,seeu 新娘婚庆红伞；&lt;30元价格段；江西 宜春；高频走量,seeu品牌新娘婚庆红伞款（婚礼），定价19.44元，江西 宜春发货，宝叶旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4983717092,淘宝累计评价2000+,6898搜索热度 同比-37%,月销800件,评价+复购+加购 数百
,,,,菲诺 三折钛银胶太阳伞 54-90元价格段代表型号,淘宝,2026-Q1,菲诺 三折钛银胶太阳伞；54-90元价格段；浙江 杭州；中高端,菲诺品牌三折钛银胶太阳伞款（防紫外线），定价12.0元，浙江 杭州发货，恒鑫伞厂运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4979801312,淘宝累计评价100万+,8122搜索热度 同比+33%,月销50万+件 (批发量),批发复购+好评 累计50万+
,,,,红叶HongYe 透明伞/8骨 54-90元价格段代表型号,淘宝,2025-11,红叶HongYe 透明伞/8骨；54-90元价格段；浙江 绍兴；中高端,红叶HongYe品牌透明伞/8骨款（拍照场景），定价22.0元，浙江 绍兴发货，婉芳儿旗舰店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.docin.com/touch_new/preview_new.do?id=4980830643,淘宝累计评价1万+,9003搜索热度 同比-25%,月销20000件,评价+复购+加购 5万+
,,,,天堂伞 反向折叠伞 &gt;90元价格段代表型号,淘宝,2026-Q2,天堂伞 反向折叠伞；&gt;90元价格段；浙江 绍兴；高毛利,天堂伞品牌反向折叠伞款（反向收伞），定价22.0元，浙江 绍兴发货，必朗旗舰店运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.cnpp.cn/gouwu/list_1613.html,淘宝累计评价5万+,6830搜索热度 同比-35%,月销3000件,评价+复购+加购 3万+
,,,,渔之源 透明伞/8骨 30-54元价格段代表型号,淘宝,2026-07,渔之源 透明伞/8骨；30-54元价格段；浙江 义乌；中端主力,渔之源品牌透明伞/8骨款（拍照场景），定价3.25元，浙江 义乌发货，腾达百货运营；属于30-54元中端主流价格段，承接天猫渠道销量占比37.2% 销售额占比38.2%市场份额。,https://m.maigoo.com/news/522353.html,淘宝累计评价50万+,706搜索热度 同比-42%,月销20万+件 (批发量),批发复购+好评 累计10万+
,,,,天浩塑胶 油纸伞/非遗 &lt;30元价格段代表型号,淘宝,2025-Q3,天浩塑胶 油纸伞/非遗；&lt;30元价格段；浙江 台州；高频走量,天浩塑胶品牌油纸伞/非遗款（国风手作），定价29.0元，浙江 台州发货，topmantown拓漫途旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://m.maigoo.com/maigoo/154qys_index.html,淘宝累计评价2000+,7586搜索热度 同比-14%,月销1500件,评价+复购+加购 2000+
,,,,山白 广告伞/定制伞 &lt;30元价格段代表型号,淘宝,2025-Q2,山白 广告伞/定制伞；&lt;30元价格段；浙江 金华；高频走量,山白品牌广告伞/定制伞款（企业定制），定价39.9元，浙江 金华发货，redleaf红叶家居旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://m.chinabgao.com/brand/detail/a98f1a9f4a1d4ae987dbe14a16e2223a.html,淘宝累计评价2000+,4442搜索热度 同比-49%,月销1000件,评价+复购+加购 2000+
,,,,topmantown拓漫途 全自动晴雨两用伞 54-90元价格段代表型号,淘宝,2026-08,topmantown拓漫途 全自动晴雨两用伞；54-90元价格段；浙江 金华；中高端,topmantown拓漫途品牌全自动晴雨两用伞款（一键开合），定价35.0元，浙江 金华发货，红叶雨伞官方旗舰店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.1688.com/jiage/-D5E3BDADBAECD2B6D3EAC9A1.html,淘宝累计评价5万+,6326搜索热度 同比+45%,月销20000件,评价+复购+加购 3万+
,,,,红叶HongYe 鹅柄商务伞 &lt;30元价格段代表型号,淘宝,2025-Q2,红叶HongYe 鹅柄商务伞；&lt;30元价格段；浙江 绍兴；高频走量,红叶HongYe品牌鹅柄商务伞款（商务礼赠），定价22.0元，浙江 绍兴发货，必朗旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.1688.com/brand/-BDB6CFC2C9A1.html,淘宝累计评价3万+,1221搜索热度 同比-48%,月销20000件,评价+复购+加购 1万+
,,,,必朗 五折口袋伞 &gt;90元价格段代表型号,淘宝,2025-Q1,必朗 五折口袋伞；&gt;90元价格段；浙江 杭州；高毛利,必朗品牌五折口袋伞款（迷你便携），定价12.0元，浙江 杭州发货，艳夏伞厂运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://wiki.1688.com/zh/sun-umbrella/WKfn5nfc3ch91c,淘宝累计评价50万+,1746搜索热度 同比-49%,月销5万+件 (批发量),批发复购+好评 累计10万+
,,,,匠心伞业 防锈直杆伞 54-90元价格段代表型号,淘宝,2026-08,匠心伞业 防锈直杆伞；54-90元价格段；浙江；中高端,匠心伞业品牌防锈直杆伞款（耐用基础款），定价8.0元，浙江发货，琦缇雨户外用品运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://wiki.1688.com/zh/umbrellas/WKfdwihfl8fk74,淘宝累计评价10万+,4906搜索热度 同比-32%,月销5万+件 (批发量),批发复购+好评 累计10万+
,,,,ooahz 五折口袋伞 &gt;90元价格段代表型号,淘宝,2025-11,ooahz 五折口袋伞；&gt;90元价格段；浙江 绍兴；高毛利,ooahz品牌五折口袋伞款（迷你便携），定价28.0元，浙江 绍兴发货，梅氏伞业源头工厂运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://wiki.1688.com/zh/fishing-umbrella/WKftw10xhg0ohs,淘宝累计评价5000+,3050搜索热度 同比-10%,月销1500件,评价+复购+加购 1000+
,,,,Lovibee 儿童伞 &gt;90元价格段代表型号,淘宝,2025-12,Lovibee 儿童伞；&gt;90元价格段；浙江 绍兴；高毛利,Lovibee品牌儿童伞款（小学生），定价22.0元，浙江 绍兴发货，婉芳儿旗舰店运营；属于&gt;90元高端价格段，承接天猫渠道销量占比4.0% 销售额占比21.5%市场份额。,https://www.am10.com/art-eyL5ouZ6oS55QCI6FaL6.htm,淘宝累计评价3万+,2444搜索热度 同比-45%,月销20000件,评价+复购+加购 3万+
,,,,FULTON富尔顿 超大雨伞双人长柄 &lt;30元价格段代表型号,淘宝,2026-Q1,FULTON富尔顿 超大雨伞双人长柄；&lt;30元价格段；浙江 绍兴；高频走量,FULTON富尔顿品牌超大雨伞双人长柄款（大号），定价19.98元，浙江 绍兴发货，9月户外用品厂运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.am10.com/art-eyL5ouZ60mp5Z6b6h2Y5sma6.htm,淘宝累计评价1000+,4812搜索热度 同比+15%,月销1000件,评价+复购+加购 1000+
,,,,恒鑫伞厂 新娘婚庆红伞 54-90元价格段代表型号,淘宝,2026-07,恒鑫伞厂 新娘婚庆红伞；54-90元价格段；广东；中高端,恒鑫伞厂品牌新娘婚庆红伞款（婚礼），定价28.0元，广东发货，美丽华伞业运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://maisui1.com/art-Smp5yiZ66Cp5-6L5.htm,淘宝累计评价10万+,4197搜索热度 同比-24%,月销20万+件 (批发量),批发复购+好评 累计50万+
,,,,红叶之秀 三折晴雨两用伞 &lt;30元价格段代表型号,淘宝,2025-12,红叶之秀 三折晴雨两用伞；&lt;30元价格段；浙江 台州；高频走量,红叶之秀品牌三折晴雨两用伞款（便携折叠），定价29.0元，浙江 台州发货，topmantown拓漫途旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://maisui1.com/art-ISZ6yiZ6eyL5ouZ6.htm,淘宝累计评价2000+,6348搜索热度 同比+41%,月销500件,评价+复购+加购 2000+
,,,,腾达百货 钓鱼伞/万向伞骨 &lt;30元价格段代表型号,淘宝,2026-07,腾达百货 钓鱼伞/万向伞骨；&lt;30元价格段；浙江 绍兴；高频走量,腾达百货品牌钓鱼伞/万向伞骨款（户外），定价22.0元，浙江 绍兴发货，必朗旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://maisui1.com/art-FyY5MOI6eyL5ouZ6.htm,淘宝累计评价5万+,4597搜索热度 同比-48%,月销10000件,评价+复购+加购 1万+
,,,,琦缇雨 全自动晴雨两用伞 54-90元价格段代表型号,淘宝,2025-Q3,琦缇雨 全自动晴雨两用伞；54-90元价格段；安徽；中高端,琦缇雨品牌全自动晴雨两用伞款（一键开合），定价45.9元，安徽发货，沐雨百货用品店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.am10.com/art-eyL5ouZ6Eq55Ly559Wa5.htm,淘宝累计评价5000+,5872搜索热度 同比-17%,月销500件,评价+复购+加购 1000+
,,,,长酉商贸 透明伞/8骨 &lt;30元价格段代表型号,淘宝,2025-Q3,长酉商贸 透明伞/8骨；&lt;30元价格段；浙江；高频走量,长酉商贸品牌透明伞/8骨款（拍照场景），定价78.0元，浙江发货，欧乐奇户外旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.am10.com/art-eyL5ouZ60mp5ymI6JK75.htm,淘宝累计评价5000+,5161搜索热度 同比+7%,月销200件,评价+复购+加购 1000+
,,,,seeu 反向折叠伞 &lt;30元价格段代表型号,淘宝,2026-08,seeu 反向折叠伞；&lt;30元价格段；广东 深圳；高频走量,seeu品牌反向折叠伞款（反向收伞），定价165.0元，广东 深圳发货，蕉下官方旗舰店运营；属于&lt;30元低端价格段，承接天猫渠道销量占比50.0% 月度44.2-49.3%市场份额。,https://www.am10.com/art-eyL5ouZ6oS55Yia5wap58S65ama5.htm,淘宝累计评价1万+,5452搜索热度 同比+16%,月销5000件,评价+复购+加购 1万+
,,,,萧山产业带 马卡龙色太阳伞 54-90元价格段代表型号,淘宝,2025-12,萧山产业带 马卡龙色太阳伞；54-90元价格段；浙江 绍兴；中高端,萧山产业带品牌马卡龙色太阳伞款（颜值党），定价19.98元，浙江 绍兴发货，9月户外用品厂运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.am10.com/art-eyL5Yia5wap5BOZ5oS55ama5Tu75.htm,淘宝累计评价2000+,8321搜索热度 同比+15%,月销1500件,评价+复购+加购 1000+
,,,,seeu 反向折叠伞 54-90元价格段代表型号,淘宝,2026-Q2,seeu 反向折叠伞；54-90元价格段；浙江 台州；中高端,seeu品牌反向折叠伞款（反向收伞），定价29.0元，浙江 台州发货，topmantown拓漫途旗舰店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.am10.com/art-eyL55q75h2p5baY53Wr5.htm,淘宝累计评价1000+,7773搜索热度 同比+14%,月销200件,评价+复购+加购 2000+
,,,,艳夏伞厂 五折口袋伞 54-90元价格段代表型号,淘宝,2026-Q1,艳夏伞厂 五折口袋伞；54-90元价格段；河南 洛阳；中高端,艳夏伞厂品牌五折口袋伞款（迷你便携），定价217.0元，河南 洛阳发货，渔之源旗舰店运营；属于54-90元中高端价格段，承接天猫渠道销量占比8.8% 销售额占比32.1%市场份额。,https://www.am10.com/art-z_Z6Wqo5eyL5ouZ6Rub6.htm,淘宝累计评价1000+,6564搜索热度 同比-39%,月销200件,评价+复购+加购 1000+
,,,,FULTON富尔顿 - 三折黑胶伞 通勤族的黑科技,抖音,2025-12,非遗手作 | 反光伞 2200万 | 3.8w粉,抖音鸟笼伞/英伦绅士赛道的非遗手作内容，账号FULTON富尔顿（英伦，3.8w粉），围绕话题#反光伞（2200万播放 / 0.4w视频 / 同比+85%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/反光伞?type=video,视频0.4w / 播放2200万,搜索热度+18%,月销3万-5万单,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,BELLE MAISON - 8款自动开合伞对比 谁才是真一键,抖音,2026-02,直播间片段 | 夜路自动伞 4200万 | 2.1w粉,抖音日系/家庭赛道的直播间片段内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#夜路自动伞（4200万播放 / 0.8w视频 / 同比新），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/夜路自动伞?type=video,视频0.8w / 播放4200万,搜索热度+5%,月销1万-3万单,抖音电商 运动户外榜 投放榜 Top 1
,,,,黑雨伞工厂店 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-08-14,实景测试 | 钛银胶伞 6400万 | 12.8w粉,抖音黑胶/防紫外线/抖音爆款赛道的实景测试内容，账号黑雨伞工厂店（源头工厂，12.8w粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+18%,月销5万单,抖音热搜 #飞恋伞 #持续 12小时
,,,,FULTON富尔顿 - 保康暴雨 暖视频里那把伞火了,抖音,2026-08-10,PK对比 | 保康暖视频 800万 | 3.8w粉,抖音鸟笼伞/英伦绅士赛道的PK对比内容，账号FULTON富尔顿（英伦，3.8w粉），围绕话题#保康暖视频（800万播放 / 0.2w视频 / 同比新），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/保康暖视频?type=video,视频0.2w / 播放800万,搜索热度+24%,月销8千-1万单,GMV 单场 280万 / UV价值 38元 / 转化率 4.6%
,,,,KOL小辣椒 - 三折黑胶伞 通勤族的黑科技,抖音,2026-08-10,对比实验 | 透明伞 2.6亿 | 150w粉,抖音雨伞场景植入赛道的对比实验内容，账号KOL小辣椒（美妆跨界，150w粉），围绕话题#透明伞（2.6亿播放 / 5.2w视频 / 同比-2%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/透明伞?type=video,视频5.2w / 播放2.6亿,搜索热度+18%,蝉妈妈销量榜Top 1,达人推广 触达 4200万 / 互动 86万 / 转化 12.4万
,,,,闻士善 - 反光伞夜间实测 这才是真夜骑安全,抖音,2026-08-05,话题挑战 | 手电筒伞 6800万 | 65w粉,抖音古法油纸伞/非遗手作赛道的话题挑战内容，账号闻士善（闻叔的伞，65w粉），围绕话题#手电筒伞（6800万播放 / 1.4w视频 / 同比新），代表视频《反光伞夜间实测 这才是真夜骑安全》。,https://www.douyin.com/search/手电筒伞?type=video,视频1.4w / 播放6800万,搜索热度+24%,月销8千-1万单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,BELLE MAISON - 暴雨12小时 12骨伞全程无故障,抖音,2026-03,实景测试 | 飞恋伞 9200万 | 2.1w粉,抖音日系/家庭赛道的实景测试内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#飞恋伞（9200万播放 / 1.8w视频 / 同比+62%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/飞恋伞?type=video,视频1.8w / 播放9200万,搜索热度+24%,月销2万单,品牌广告位 累计曝光 1.2亿 / 点击 320万 / 转化 8.6万
,,,,Knirps克尼普斯 - 暴雨12小时 12骨伞全程无故障,抖音,2026-06,直播间片段 | 广告伞定制 2400万 | 5.6w粉,抖音高端商务赛道的直播间片段内容，账号Knirps克尼普斯（德系，5.6w粉），围绕话题#广告伞定制（2400万播放 / 0.4w视频 / 同比+14%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/广告伞定制?type=video,视频0.4w / 播放2400万,搜索热度+18%,月销10万+单,特效道具 雨伞AR 使用 1.2亿 次
,,,,余万伦 - 三折黑胶伞 通勤族的黑科技,抖音,2026-03,节日应季 | 钛银胶伞 6400万 | 95.6w粉,抖音油纸伞/三都非遗赛道的节日应季内容，账号余万伦（非遗传承人，95.6w粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+32%,月销3万-5万单,品牌广告位 累计曝光 1.2亿 / 点击 320万 / 转化 8.6万
,,,,小红薯 - 三折黑胶伞 通勤族的黑科技,抖音,2026-06,工厂实拍 | 商务雨伞 3200万 | 180w粉,抖音防晒伞/通勤/颜值赛道的工厂实拍内容，账号小红薯（种草，180w粉），围绕话题#商务雨伞（3200万播放 / 0.6w视频 / 同比+8%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/商务雨伞?type=video,视频0.6w / 播放3200万,搜索热度+12%,新上榜,品牌任务 累计 6800 创作者参与 / 8.2w 视频
,,,,BELLE MAISON - 台风天的12骨伞 比花伞强在哪,抖音,2026-05,天气纪实 | 黑胶伞 4.8亿 | 2.1w粉,抖音日系/家庭赛道的天气纪实内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#黑胶伞（4.8亿播放 / 8.6w视频 / 同比+18%），代表视频《台风天的12骨伞 比花伞强在哪》。,https://www.douyin.com/search/黑胶伞?type=video,视频8.6w / 播放4.8亿,搜索热度+新,月销5万-10万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,totem图腾 - 一把伞让油纸伞大师哭了出来,抖音,2026-01,直播间片段 | 彩虹伞 1.6亿 | 4.2w粉,抖音户外伞/遮阳赛道的直播间片段内容，账号totem图腾（户外品牌，4.2w粉），围绕话题#彩虹伞（1.6亿播放 / 3.2w视频 / 同比-5%），代表视频《一把伞让油纸伞大师哭了出来》。,https://www.douyin.com/search/彩虹伞?type=video,视频3.2w / 播放1.6亿,搜索热度+32%,蝉妈妈销量榜Top 3,GMV 单场 280万 / UV价值 38元 / 转化率 4.6%
,,,,小红薯测评 - 钓鱼伞万向节 1秒换角度,抖音,2026-06,热销榜单 | 反向折叠伞 1.2亿 | 87.6w粉,抖音雨伞横评/对比赛道的热销榜单内容，账号小红薯测评（测评号，87.6w粉），围绕话题#反向折叠伞（1.2亿播放 / 2.1w视频 / 同比+47%），代表视频《钓鱼伞万向节 1秒换角度》。,https://www.douyin.com/search/反向折叠伞?type=video,视频2.1w / 播放1.2亿,搜索热度+18%,月销2万单,抖音电商 运动户外榜 投放榜 Top 1
